t, target_theta, target_alpha, theta, alpha, control_output, feedforward, plant_input, saturation
0.00000000000000000e+00, 0.00000000000000000e+00, 0.00000000000000000e+00, -6.74951546669682045e-02, -8.59029241215960582e-02, -2.09915509126227349e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
2.00000000000000004e-03, 0.00000000000000000e+00, 0.00000000000000000e+00, -7.05631162427394903e-02, -8.59029241215960582e-02, -1.96538689554777619e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
4.00000000000000008e-03, 0.00000000000000000e+00, 0.00000000000000000e+00, -7.05631162427394903e-02, -8.59029241215960582e-02, -1.81533107392289992e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
6.00000000000000012e-03, 0.00000000000000000e+00, 0.00000000000000000e+00, -7.36310778185107762e-02, -8.28349625458244532e-02, -1.65484713753763728e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
8.00000000000000017e-03, 0.00000000000000000e+00, 0.00000000000000000e+00, -7.36310778185107762e-02, -8.28349625458244532e-02, -1.53210181453185985e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
1.00000000000000002e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -7.66990393942820620e-02, -7.97670009700532923e-02, -1.39644560416396786e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
1.20000000000000002e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -7.66990393942820620e-02, -7.66990393942821314e-02, -1.24369723598916870e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
1.40000000000000003e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -7.97670009700533478e-02, -7.36310778185109704e-02, -1.13236306560559044e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
1.60000000000000003e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -7.97670009700533478e-02, -7.36310778185109704e-02, -1.05429934805588204e+01, 0.00000000000000000e+00, -1.00000000000000000e+01, -1.00000000000000000e+00
1.80000000000000021e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -7.97670009700533478e-02, -7.36310778185109704e-02, -9.83332332101601736e+00, 0.00000000000000000e+00, -9.83332332101601736e+00, 0.00000000000000000e+00
2.00000000000000004e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -8.28349625458246197e-02, -7.05631162427393654e-02, -8.94747309962335535e+00, 0.00000000000000000e+00, -8.94747309962335535e+00, 0.00000000000000000e+00
2.19999999999999987e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -8.28349625458246197e-02, -7.05631162427393654e-02, -8.37364636271100871e+00, 0.00000000000000000e+00, -8.37364636271100871e+00, 0.00000000000000000e+00
2.40000000000000005e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -8.28349625458246197e-02, -6.74951546669682045e-02, -7.32624864094263462e+00, 0.00000000000000000e+00, -7.32624864094263462e+00, 0.00000000000000000e+00
2.60000000000000023e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -8.28349625458246197e-02, -6.74951546669682045e-02, -6.89004424980562469e+00, 0.00000000000000000e+00, -6.89004424980562469e+00, 0.00000000000000000e+00
2.80000000000000006e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -8.28349625458246197e-02, -6.74951546669682045e-02, -6.49349480331743578e+00, 0.00000000000000000e+00, -6.49349480331743578e+00, 0.00000000000000000e+00
2.99999999999999989e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -8.28349625458246197e-02, -6.44271930911970436e-02, -5.60725825466193051e+00, 0.00000000000000000e+00, -5.60725825466193051e+00, 0.00000000000000000e+00
3.20000000000000007e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -8.59029241215959055e-02, -6.44271930911970436e-02, -5.60260554184919179e+00, 0.00000000000000000e+00, -5.60260554184919179e+00, 0.00000000000000000e+00
3.40000000000000024e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -8.59029241215959055e-02, -6.44271930911970436e-02, -5.31389209317518230e+00, 0.00000000000000000e+00, -5.31389209317518230e+00, 0.00000000000000000e+00
3.60000000000000042e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -8.59029241215959055e-02, -6.13592315154254386e-02, -4.52568826980522143e+00, 0.00000000000000000e+00, -4.52568826980522143e+00, 0.00000000000000000e+00
3.79999999999999991e-02, 0.00000000000000000e+00, 0.00000000000000000e+00, -8.59029241215959055e-02, -6.13592315154254386e-02, -4.32511469539411841e+00, 0.00000000000000000e+00, -4.32511469539411841e+00, 0.00000000000000000e+00
